,MD Cutoffs,optimal read count cutoff,AUC,TPR,1 - FPR
0,0.0,21.186440677966104,0.6961805555555556,0.8333333333333334,0.6666666666666667
1,0.05,21.186440677966104,0.6961805555555556,0.8333333333333334,0.6666666666666667
2,0.1,10.0,0.7291666666666666,0.9166666666666666,0.6666666666666667
3,0.15,9.333333333333332,0.8645833333333333,0.9166666666666666,0.75
4,0.2,9.333333333333332,0.8645833333333333,0.9166666666666666,0.75
5,0.25,2.0833333333333335,0.9201388888888888,1.0,0.6666666666666667
6,0.3,9.333333333333332,0.9461805555555555,0.8333333333333334,0.9166666666666666
7,0.35,9.333333333333332,0.9461805555555555,0.8333333333333334,0.9166666666666666
8,0.4,5.0,0.9409722222222221,0.9166666666666666,1.0
9,0.45,5.0,0.9409722222222221,0.9166666666666666,1.0
10,0.5,5.0,0.9409722222222221,0.9166666666666666,1.0
11,0.55,5.0,0.9409722222222221,0.9166666666666666,1.0
12,0.6,4.761904761904762,0.9444444444444444,0.9166666666666666,1.0
13,0.65,3.571428571428571,0.9479166666666666,0.9166666666666666,1.0
14,0.7,3.571428571428571,0.9479166666666666,0.9166666666666666,1.0
15,0.75,3.3898305084745766,0.9444444444444444,0.875,1.0
16,0.8,2.5,0.9097222222222222,0.8333333333333334,1.0
17,0.85,1.2987012987012987,0.7708333333333333,0.5416666666666666,1.0
18,0.9,1.2987012987012987,0.7708333333333333,0.5416666666666666,1.0
19,0.95,1.1904761904761905,0.6875,0.375,1.0
20,1.0,1.1904761904761905,0.6875,0.375,1.0
