chr,interval_start,interval_stop,methSeqStart,methSeqStop,methSeqLength,numU,numM,MD,HOT240,CTR128,CTR129,LIC4L,TBR108,L955,CTR118,L962,LIC3L,TBR31,HOT240T,HOT198,TBR52,HOT229T,HOT224,HOT227,TBR51,HOT172,CTR98,CTR149,HOT170,HOT215,CTR148,LIC2L,HOT222,L978,CTR154,CTR86,HOT208,CTR84,HOT236T,HOT159,CTR85,TBR099,L964,CTR151,TBR177,CTR150,CTR153,CTR152,L989,HOT238,TBR36T,CTR107,CTR106,HOT170T,CTR131,CTR132,N1L,HOT215T,TBR123,TBR36W,CTR104,TBR125,HOT205T,TBR124,CTR134,CTR103,TBR127,TBR111,CTR101,TBR126,TBR34prePlsm,CTR113,TBR34W,CTR126,N4L,HOT222T,CTR111,HOT172T,TBR34T,N3L,CTR127,L948,CTR110,TBR106,CTR117,TBR107,HOT207T,CTR114,L954,TBR150,HOT151W,HOT227T,HOT197T,HOT197,N2L,HOT229,L982,HOT151T,TBR164,TBR062,CTR97,HOT192,CTR147,HOT207,HOT162,HOT238T,HOT156,HOT205,L987,HOT233,HOT204,HCC1,HOT151,HOT167,HOT164,HOT236,TBR14,CTR108,TBR36prePlsm,LIC1L,HCC2,TBR12,TBR128
chr13,107187077,107187512,107187077,107187152,75,7,3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
chr13,107187077,107187512,107187077,107187198,121,15,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr13,107187077,107187512,107187078,107187153,75,3,7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr13,107187077,107187512,107187079,107187154,75,10,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
chr13,107187077,107187512,107187079,107187154,75,11,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr13,107187077,107187512,107187079,107187233,154,12,5,0.29411764705882354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr13,107187077,107187512,107187080,107187155,75,1,10,0.9090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr13,107187077,107187512,107187080,107187155,75,10,0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr13,107187077,107187512,107187080,107187155,75,11,0,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr13,107187077,107187512,107187081,107187156,75,6,5,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr13,107187077,107187512,107187081,107187156,75,11,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr13,107187077,107187512,107187082,107187157,75,3,7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chr13,107187077,107187512,107187082,107187157,75,8,1,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
chr13,107187077,107187512,107187082,107187157,75,9,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
chr13,107187077,107187512,107187082,107187157,75,10,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
